t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought,open_norm
2023-11-20T10:25:00Z,b,SAVE,12.55,out,no_action,0.0,no_stop_loss_out_signal,,,,,0.0,-0.0,,,,,
2023-11-20T10:43:00Z,b,SAVE,12.55,,,,,,,,0.0,0.0,-0.0,,,,,
2023-11-20T11:08:00Z,b,SAVE,12.55,,,,,,,,0.0,0.0,-0.0,,,,,
2023-11-20T11:41:00Z,b,SAVE,12.55,,,,,,,,0.0,0.0,-0.0,,,,,
2023-11-20T12:00:00Z,b,SAVE,12.5,,,,,,,,-0.05000000000000071,0.0,0.05000000000000071,,,,,
2023-11-20T12:01:00Z,b,SAVE,12.5,,,,,,,,0.0,0.0,-0.0,,,,,
2023-11-20T12:03:00Z,b,SAVE,12.48,,,,,,,,-0.019999999999999574,0.0,0.019999999999999574,,,,,
2023-11-20T12:04:00Z,b,SAVE,12.49,,,,,,,,0.009999999999999787,0.009999999999999787,-0.0,,,,,
2023-11-20T12:09:00Z,b,SAVE,12.46,,,,,,,,-0.02999999999999936,0.0,0.02999999999999936,,,,,
2023-11-20T12:10:00Z,b,SAVE,12.45,,,,,,,,-0.010000000000001563,0.0,0.010000000000001563,,,,,
2023-11-20T12:12:00Z,b,SAVE,12.48,,,,,,,,0.030000000000001137,0.030000000000001137,-0.0,,,,,
2023-11-20T12:13:00Z,b,SAVE,12.48,out,,,,26.6666666666669,,,0.0,0.0,-0.0,0.0033333333333334103,0.009166666666666767,,,
2023-11-20T12:18:00Z,b,SAVE,12.5,out,no_action,26000.0,,35.29411764705877,,,0.019999999999999574,0.019999999999999574,-0.0,0.005000000000000042,0.009166666666666767,,,1.0163025066527087
2023-11-20T12:22:00Z,b,SAVE,12.5,out,no_action,26000.0,,35.29411764705877,,,0.0,0.0,-0.0,0.005000000000000042,0.009166666666666767,,,1.0163025066527087
2023-11-20T12:26:00Z,b,SAVE,12.51,out,no_action,26000.0,,38.888888888888715,,,0.009999999999999787,0.009999999999999787,-0.0,0.005833333333333357,0.009166666666666767,,,1.0338804946514264
2023-11-20T12:29:00Z,b,SAVE,12.45,out,no_action,26000.0,,29.166666666666544,,,-0.0600000000000005,0.0,0.0600000000000005,0.005833333333333357,0.014166666666666808,,,0.9284125666591164
2023-11-20T12:30:00Z,b,SAVE,12.5,out,no_action,26000.0,,50.0,,,0.05000000000000071,0.05000000000000071,-0.0,0.010000000000000083,0.010000000000000083,,,1.0163025066527087
2023-11-20T12:36:00Z,b,SAVE,12.5,out,no_action,26000.0,,50.0,,,0.0,0.0,-0.0,0.010000000000000083,0.010000000000000083,,,1.0163025066527087
2023-11-20T12:40:00Z,b,SAVE,12.5,out,no_action,26000.0,,54.545454545454405,,,0.0,0.0,-0.0,0.010000000000000083,0.008333333333333451,,,1.0163025066527087
2023-11-20T12:54:00Z,b,SAVE,12.42,out,no_action,26000.0,,37.93103448275868,,,-0.08000000000000007,0.0,0.08000000000000007,0.009166666666666767,0.015000000000000124,,,0.875678602662963
2023-11-20T12:55:00Z,b,SAVE,12.42,out,no_action,26000.0,,42.30769230769223,,,0.0,0.0,-0.0,0.009166666666666767,0.012500000000000178,,,0.875678602662963
2023-11-20T12:56:00Z,b,SAVE,12.42,out,no_action,26000.0,,44.00000000000017,-0.014062390398974478,,0.0,0.0,-0.0,0.009166666666666767,0.011666666666666714,,,0.875678602662963
2023-11-20T13:00:00Z,b,SAVE,12.4897,out,no_action,26000.0,,51.67414566793213,-0.014786603504521744,,0.06969999999999921,0.06969999999999921,-0.0,0.01247499999999994,0.011666666666666714,,,0.9981971790140274
2023-11-20T13:02:00Z,b,SAVE,12.49,out,no_action,26000.0,,51.724137931034434,-0.01548972302447047,,0.0003000000000010772,0.0003000000000010772,-0.0,0.01250000000000003,0.011666666666666714,,,0.9987245186539908
2023-11-20T13:09:00Z,b,SAVE,12.4492,out,no_action,26000.0,,41.827541827541786,-0.007108538346681681,,-0.040800000000000836,0.0,0.040800000000000836,0.010833333333333398,0.015066666666666784,,,0.9270063276192192
2023-11-20T13:10:00Z,b,SAVE,12.42,out,no_action,26000.0,,38.2352941176471,-0.0049991797868355285,,-0.02919999999999945,0.0,0.02919999999999945,0.010833333333333398,0.01750000000000007,,,0.875678602662963
2023-11-20T13:12:00Z,b,SAVE,12.4003,out,no_action,26000.0,,34.315127251930306,-0.0007593690815447474,,-0.019700000000000273,0.0,0.019700000000000273,0.010000000000000083,0.01914166666666676,,,0.8410499663054878
2023-11-20T13:13:00Z,b,SAVE,12.45,out,no_action,26000.0,,50.0,-0.002826540470193928,,0.04969999999999963,0.04969999999999963,-0.0,0.014141666666666719,0.014141666666666719,,,0.9284125666591164
2023-11-20T13:14:00Z,b,SAVE,12.39,out,no_action,26000.0,,34.25872925014315,-0.009154616149732453,,-0.05999999999999872,0.0,0.05999999999999872,0.009974999999999993,0.019141666666666612,,,0.8229446386668097
2023-11-20T13:15:00Z,b,SAVE,12.4,out,no_action,26000.0,,36.08792431830831,-0.014667073186130386,,0.009999999999999787,0.009999999999999787,-0.0,0.010808333333333309,0.019141666666666612,,,0.8405226266655275
2023-11-20T13:17:00Z,b,SAVE,12.39,out,no_action,26000.0,,35.11099079588524,-0.016776431745976518,,-0.009999999999999787,0.0,0.009999999999999787,0.010808333333333309,0.019974999999999927,,,0.8229446386668097
2023-11-20T13:28:00Z,b,SAVE,12.51,out,no_action,26000.0,,60.99169516365417,-0.0076780651578399525,,0.11999999999999922,0.11999999999999922,-0.0,0.020808333333333245,0.013308333333333255,,,1.0338804946514264
2023-11-20T13:29:00Z,b,SAVE,12.49,out,no_action,26000.0,,58.15090824406157,-0.0020742025838485388,,-0.019999999999999574,0.0,0.019999999999999574,0.020808333333333245,0.014974999999999886,,,0.9987245186539908
2023-11-20T13:31:00Z,b,SAVE,12.39,out,no_action,26000.0,,47.16660370230454,0.004956992615638711,,-0.09999999999999964,0.0,0.09999999999999964,0.020808333333333245,0.02330833333333319,,,0.8229446386668097
2023-11-20T13:34:00Z,b,SAVE,12.49,out,no_action,26000.0,,50.02680007146695,0.014744416333324928,,0.09999999999999964,0.09999999999999964,-0.0,0.02333333333333328,0.02330833333333319,,,0.9987245186539908
2023-11-20T13:35:00Z,b,SAVE,12.49,out,no_action,26000.0,,50.0,0.02388497009265831,-0.005251423914617026,0.0,0.0,-0.0,0.02330833333333319,0.02330833333333319,,,0.9987245186539908
2023-11-20T13:41:00Z,b,SAVE,12.39,out,no_action,26000.0,,45.21500161655357,0.007734314719436086,-0.005353962177942863,-0.09999999999999964,0.0,0.09999999999999964,0.02330833333333319,0.028241666666666426,,,0.8229446386668097
2023-11-20T13:47:00Z,b,SAVE,12.47,out,no_action,26000.0,,53.73468778010166,0.003515597599743714,-0.003767060483614119,0.08000000000000007,0.08000000000000007,-0.0,0.029974999999999863,0.025808333333333138,,,0.9635685426565552
2023-11-20T13:48:00Z,b,SAVE,12.46,out,no_action,26000.0,,54.52478399272409,0.008437434239384811,-0.001699205506542678,-0.009999999999999787,0.0,0.009999999999999787,0.029974999999999863,0.024999999999999762,,,0.9459905546578374
2023-11-20T13:50:00Z,b,SAVE,12.43,out,no_action,26000.0,,48.43750000000003,-0.002109358559846131,-0.0019433442287470903,-0.030000000000001137,0.0,0.030000000000001137,0.025833333333333226,0.027499999999999858,,,0.8932565906616808
2023-11-20T13:51:00Z,b,SAVE,12.43,out,no_action,26000.0,,53.448275862068904,-0.013359270879025798,-0.00011230381221396153,0.0,0.0,-0.0,0.025833333333333226,0.022499999999999964,,,0.8932565906616808
2023-11-20T13:52:00Z,b,SAVE,12.43,out,no_action,26000.0,,52.631578947368375,-0.002109358559846264,0.001474597882114755,0.0,0.0,-0.0,0.02499999999999991,0.022499999999999964,,,0.8932565906616808
2023-11-20T13:56:00Z,b,SAVE,12.4199,out,no_action,26000.0,,52.622346956674235,-0.0042257483148919976,0.003182348243934661,-0.010099999999999554,0.0,0.010099999999999554,0.02499999999999991,0.02250833333333328,,,0.8755028227829763
2023-11-20T13:58:00Z,b,SAVE,12.4,out,no_action,26000.0,,38.29787234042556,-0.013366302074225489,0.0007409610218904553,-0.019899999999999807,0.0,0.019899999999999807,0.014999999999999977,0.024166666666666597,,,0.8405226266655275
2023-11-20T13:59:00Z,b,SAVE,12.39,out,no_action,26000.0,,39.13043478260871,-0.01196006303432795,-0.0013342181168471041,-0.009999999999999787,0.0,0.009999999999999787,0.014999999999999977,0.02333333333333328,,,0.8229446386668097
