,symbol,timestamp,open,high,low,close,volume,transactions,volume_weighted_avg_price,date
0,ZION,2024-02-16 00:27:00+00:00,41.29,41.29,41.29,41.29,100.0,1.0,41.29,2024-02-16
1,ZION,2024-02-16 13:00:00+00:00,41.0,41.0,41.0,41.0,100.0,1.0,41.0,2024-02-16
2,ZION,2024-02-16 13:30:00+00:00,41.35,41.35,41.33,41.33,450.0,4.0,41.344222,2024-02-16
3,ZION,2024-02-16 13:31:00+00:00,41.01,41.01,41.0,41.0,587.0,5.0,41.001704,2024-02-16
4,ZION,2024-02-16 13:33:00+00:00,42.1173,42.1173,42.1173,42.1173,1013.0,2.0,42.102962,2024-02-16
5,ZION,2024-02-16 13:36:00+00:00,40.43,40.43,40.2,40.2,301.0,3.0,40.349502,2024-02-16
6,ZION,2024-02-16 13:37:00+00:00,40.5,40.5,40.5,40.5,600.0,1.0,40.5,2024-02-16
7,ZION,2024-02-16 13:46:00+00:00,40.6,40.6,40.5,40.5,500.0,3.0,40.542,2024-02-16
8,ZION,2024-02-16 13:59:00+00:00,40.66,40.69,40.66,40.69,1244.0,12.0,40.675249,2024-02-16
9,ZION,2024-02-16 14:15:00+00:00,40.69,40.69,40.69,40.69,250.0,1.0,40.69,2024-02-16
10,ZION,2024-02-16 14:23:00+00:00,40.65,40.65,40.65,40.65,1300.0,1.0,40.65,2024-02-16
11,ZION,2024-02-16 14:30:00+00:00,40.76,40.93,40.65,40.79,58522.0,113.0,40.769672,2024-02-16
12,ZION,2024-02-16 14:31:00+00:00,40.72,40.865,40.65,40.865,2849.0,57.0,40.708342,2024-02-16
13,ZION,2024-02-16 14:32:00+00:00,40.87,41.0,40.87,40.98,16926.0,106.0,40.965327,2024-02-16
14,ZION,2024-02-16 14:33:00+00:00,40.94,40.95,40.9,40.9,1722.0,27.0,40.929077,2024-02-16
15,ZION,2024-02-16 14:34:00+00:00,40.87,40.87,40.795,40.82,28405.0,63.0,40.814826,2024-02-16
16,ZION,2024-02-16 14:35:00+00:00,40.79,40.814,40.76,40.81,3495.0,96.0,40.793036,2024-02-16
17,ZION,2024-02-16 14:36:00+00:00,40.84,40.84,40.79,40.8,17863.0,50.0,40.834585,2024-02-16
18,ZION,2024-02-16 14:37:00+00:00,40.77,40.78,40.72,40.75,1946.0,47.0,40.761332,2024-02-16
19,ZION,2024-02-16 14:38:00+00:00,40.75,40.7999,40.745,40.78,1294.0,34.0,40.770835,2024-02-16
20,ZION,2024-02-16 14:39:00+00:00,40.835,40.8658,40.76,40.81,4218.0,70.0,40.812618,2024-02-16
21,ZION,2024-02-16 14:40:00+00:00,40.87,41.03,40.87,41.02,6297.0,100.0,40.960739,2024-02-16
22,ZION,2024-02-16 14:41:00+00:00,41.03,41.095,41.03,41.095,2515.0,54.0,41.041745,2024-02-16
23,ZION,2024-02-16 14:42:00+00:00,41.09,41.09,40.92,40.92,4890.0,76.0,41.031835,2024-02-16
24,ZION,2024-02-16 14:43:00+00:00,40.925,41.01,40.925,40.97,2480.0,53.0,40.959258,2024-02-16
25,ZION,2024-02-16 14:44:00+00:00,41.015,41.015,40.995,41.01,1202.0,28.0,41.00463,2024-02-16
26,ZION,2024-02-16 14:45:00+00:00,41.01,41.02,40.96,40.96,2481.0,53.0,40.995629,2024-02-16
27,ZION,2024-02-16 14:46:00+00:00,40.98,40.98,40.91,40.92,1611.0,31.0,40.932353,2024-02-16
28,ZION,2024-02-16 14:47:00+00:00,40.95,41.03,40.95,41.01,2917.0,63.0,40.993862,2024-02-16
29,ZION,2024-02-16 14:48:00+00:00,40.97,41.08,40.97,41.08,2010.0,47.0,41.043351,2024-02-16
30,ZION,2024-02-16 14:49:00+00:00,41.12,41.18,41.105,41.165,3098.0,62.0,41.151971,2024-02-16
31,ZION,2024-02-16 14:50:00+00:00,41.17,41.215,41.16,41.16,2457.0,59.0,41.179573,2024-02-16
32,ZION,2024-02-16 14:51:00+00:00,41.06,41.115,41.0,41.115,4052.0,81.0,41.068264,2024-02-16
33,ZION,2024-02-16 14:52:00+00:00,41.14,41.155,41.05,41.07,3877.0,79.0,41.092965,2024-02-16
34,ZION,2024-02-16 14:53:00+00:00,41.06,41.06,40.92,40.92,2344.0,54.0,41.013744,2024-02-16
35,ZION,2024-02-16 14:54:00+00:00,40.92,40.98,40.82,40.82,4310.0,93.0,40.904316,2024-02-16
36,ZION,2024-02-16 14:55:00+00:00,40.8,40.91,40.77,40.905,2787.0,49.0,40.839437,2024-02-16
37,ZION,2024-02-16 14:56:00+00:00,40.92,40.96,40.88,40.92,1575.0,41.0,40.91654,2024-02-16
38,ZION,2024-02-16 14:57:00+00:00,40.94,40.96,40.9186,40.96,2626.0,54.0,40.939185,2024-02-16
39,ZION,2024-02-16 14:58:00+00:00,40.9964,41.1,40.9964,41.09,2808.0,54.0,41.047863,2024-02-16
40,ZION,2024-02-16 14:59:00+00:00,41.1,41.11,41.04,41.085,2534.0,63.0,41.069762,2024-02-16
41,ZION,2024-02-16 15:00:00+00:00,41.04,41.095,40.98,41.095,5127.0,91.0,41.025864,2024-02-16
42,ZION,2024-02-16 15:01:00+00:00,41.08,41.11,41.06,41.065,1430.0,39.0,41.089493,2024-02-16
43,ZION,2024-02-16 15:02:00+00:00,41.02,41.085,41.01,41.07,6541.0,111.0,41.051713,2024-02-16
44,ZION,2024-02-16 15:03:00+00:00,41.11,41.165,41.11,41.165,2482.0,53.0,41.129861,2024-02-16
45,ZION,2024-02-16 15:04:00+00:00,41.12,41.12,41.07,41.095,2161.0,52.0,41.091039,2024-02-16
46,ZION,2024-02-16 15:05:00+00:00,41.095,41.105,41.0,41.02,3691.0,68.0,41.066258,2024-02-16
47,ZION,2024-02-16 15:06:00+00:00,41.04,41.04,40.945,40.99,25097.0,92.0,41.001088,2024-02-16
48,ZION,2024-02-16 15:07:00+00:00,40.99,41.03,40.965,40.985,2597.0,63.0,41.006289,2024-02-16
49,ZION,2024-02-16 15:08:00+00:00,40.97,40.97,40.875,40.91,6020.0,110.0,40.915432,2024-02-16
50,ZION,2024-02-16 15:09:00+00:00,40.93,40.955,40.89,40.89,6719.0,106.0,40.921428,2024-02-16
51,ZION,2024-02-16 15:10:00+00:00,40.89,40.99,40.89,40.99,3727.0,68.0,40.92519,2024-02-16
52,ZION,2024-02-16 15:11:00+00:00,41.0,41.05,40.995,41.04,11438.0,152.0,41.019984,2024-02-16
53,ZION,2024-02-16 15:12:00+00:00,41.035,41.08,41.01,41.052,9513.0,172.0,41.049478,2024-02-16
54,ZION,2024-02-16 15:13:00+00:00,41.07,41.11,41.07,41.09,16615.0,123.0,41.097093,2024-02-16
55,ZION,2024-02-16 15:14:00+00:00,41.1,41.11,41.02,41.04,8662.0,141.0,41.072423,2024-02-16
56,ZION,2024-02-16 15:15:00+00:00,41.045,41.15,41.045,41.06,4919.0,122.0,41.091468,2024-02-16
57,ZION,2024-02-16 15:16:00+00:00,41.04,41.0991,41.0,41.01,9181.0,151.0,41.071801,2024-02-16
58,ZION,2024-02-16 15:17:00+00:00,41.0,41.13,41.0,41.13,2190.0,70.0,41.056208,2024-02-16
59,ZION,2024-02-16 15:18:00+00:00,41.15,41.15,41.07,41.0725,3043.0,66.0,41.089234,2024-02-16
60,ZION,2024-02-16 15:19:00+00:00,41.07,41.075,40.98,40.98,3346.0,84.0,41.02955,2024-02-16
61,ZION,2024-02-16 15:20:00+00:00,40.97,40.97,40.87,40.87,3078.0,77.0,40.925483,2024-02-16
62,ZION,2024-02-16 15:21:00+00:00,40.84,40.93,40.84,40.9025,1830.0,50.0,40.883992,2024-02-16
63,ZION,2024-02-16 15:22:00+00:00,40.9025,40.91,40.83,40.85,1376.0,32.0,40.875575,2024-02-16
64,ZION,2024-02-16 15:23:00+00:00,40.86,40.915,40.86,40.91,2342.0,48.0,40.895285,2024-02-16
65,ZION,2024-02-16 15:24:00+00:00,40.91,40.92,40.865,40.87,5278.0,77.0,40.890312,2024-02-16
66,ZION,2024-02-16 15:25:00+00:00,40.86,40.88,40.77,40.816,9995.0,111.0,40.810558,2024-02-16
67,ZION,2024-02-16 15:26:00+00:00,40.82,40.82,40.76,40.76,3605.0,68.0,40.79225,2024-02-16
68,ZION,2024-02-16 15:27:00+00:00,40.76,40.84,40.74,40.84,3726.0,66.0,40.782014,2024-02-16
69,ZION,2024-02-16 15:28:00+00:00,40.87,40.91,40.865,40.88,3058.0,60.0,40.885141,2024-02-16
70,ZION,2024-02-16 15:29:00+00:00,40.87,40.87,40.84,40.87,1799.0,50.0,40.856476,2024-02-16
71,ZION,2024-02-16 15:30:00+00:00,40.855,40.855,40.75,40.75,6839.0,91.0,40.822306,2024-02-16
72,ZION,2024-02-16 15:31:00+00:00,40.79,40.89,40.79,40.89,4348.0,102.0,40.829041,2024-02-16
73,ZION,2024-02-16 15:32:00+00:00,40.88,40.89,40.77,40.77,3688.0,88.0,40.822777,2024-02-16
74,ZION,2024-02-16 15:33:00+00:00,40.78,40.82,40.78,40.82,626.0,24.0,40.799344,2024-02-16
75,ZION,2024-02-16 15:34:00+00:00,40.825,40.89,40.8,40.87,2897.0,76.0,40.849731,2024-02-16
76,ZION,2024-02-16 15:35:00+00:00,40.83,40.83,40.72,40.72,8275.0,131.0,40.76176,2024-02-16
77,ZION,2024-02-16 15:36:00+00:00,40.72,40.82,40.72,40.82,1820.0,44.0,40.771435,2024-02-16
78,ZION,2024-02-16 15:37:00+00:00,40.86,40.925,40.86,40.925,5299.0,42.0,40.909733,2024-02-16
79,ZION,2024-02-16 15:38:00+00:00,40.92,40.92,40.8,40.8,4545.0,91.0,40.856409,2024-02-16
80,ZION,2024-02-16 15:39:00+00:00,40.77,40.86,40.77,40.85,2058.0,44.0,40.814357,2024-02-16
81,ZION,2024-02-16 15:40:00+00:00,40.9,40.93,40.87,40.93,1933.0,46.0,40.891838,2024-02-16
82,ZION,2024-02-16 15:41:00+00:00,40.91,40.91,40.85,40.88,2780.0,64.0,40.882495,2024-02-16
83,ZION,2024-02-16 15:42:00+00:00,40.87,40.91,40.87,40.91,1744.0,50.0,40.89203,2024-02-16
84,ZION,2024-02-16 15:43:00+00:00,40.92,40.98,40.92,40.965,6220.0,86.0,40.957841,2024-02-16
85,ZION,2024-02-16 15:44:00+00:00,40.97,40.97,40.91,40.925,1854.0,43.0,40.925483,2024-02-16
86,ZION,2024-02-16 15:45:00+00:00,40.91,40.91,40.845,40.9,3154.0,62.0,40.8738,2024-02-16
87,ZION,2024-02-16 15:46:00+00:00,40.93,40.99,40.93,40.99,4051.0,62.0,40.951163,2024-02-16
88,ZION,2024-02-16 15:47:00+00:00,40.96,40.97,40.9101,40.97,3056.0,65.0,40.947358,2024-02-16
89,ZION,2024-02-16 15:48:00+00:00,41.0,41.01,40.93,40.93,1518.0,43.0,40.965403,2024-02-16
90,ZION,2024-02-16 15:49:00+00:00,40.92,40.92,40.85,40.85,2062.0,55.0,40.888287,2024-02-16
91,ZION,2024-02-16 15:50:00+00:00,40.89,40.9,40.85,40.85,1239.0,33.0,40.871826,2024-02-16
92,ZION,2024-02-16 15:51:00+00:00,40.91,40.93,40.88,40.88,4486.0,79.0,40.906261,2024-02-16
93,ZION,2024-02-16 15:52:00+00:00,40.87,40.885,40.855,40.885,1160.0,28.0,40.877672,2024-02-16
94,ZION,2024-02-16 15:53:00+00:00,40.93,40.94,40.9,40.9,2243.0,38.0,40.920132,2024-02-16
95,ZION,2024-02-16 15:54:00+00:00,40.91,40.98,40.91,40.97,2168.0,46.0,40.952893,2024-02-16
96,ZION,2024-02-16 15:55:00+00:00,40.96,40.96,40.91,40.91,3207.0,66.0,40.928764,2024-02-16
97,ZION,2024-02-16 15:56:00+00:00,40.91,40.94,40.91,40.94,578.0,17.0,40.926114,2024-02-16
98,ZION,2024-02-16 15:57:00+00:00,40.92,40.92,40.85,40.85,3535.0,86.0,40.888556,2024-02-16
99,ZION,2024-02-16 15:58:00+00:00,40.85,40.865,40.85,40.865,1400.0,34.0,40.859099,2024-02-16
100,ZION,2024-02-16 15:59:00+00:00,40.85,40.875,40.84,40.84,3561.0,46.0,40.857461,2024-02-16
101,ZION,2024-02-16 16:00:00+00:00,40.84,40.87,40.8,40.805,5094.0,90.0,40.823845,2024-02-16
102,ZION,2024-02-16 16:01:00+00:00,40.81,40.825,40.79,40.8,7262.0,88.0,40.805278,2024-02-16
103,ZION,2024-02-16 16:02:00+00:00,40.8,40.8,40.72,40.72,2417.0,52.0,40.763329,2024-02-16
104,ZION,2024-02-16 16:03:00+00:00,40.72,40.72,40.72,40.72,882.0,29.0,40.721666,2024-02-16
105,ZION,2024-02-16 16:04:00+00:00,40.75,40.82,40.75,40.8,11494.0,80.0,40.784149,2024-02-16
106,ZION,2024-02-16 16:05:00+00:00,40.8,40.83,40.79,40.8,13904.0,117.0,40.80549,2024-02-16
107,ZION,2024-02-16 16:06:00+00:00,40.805,40.825,40.79,40.8,4966.0,41.0,40.816954,2024-02-16
108,ZION,2024-02-16 16:07:00+00:00,40.8,40.8075,40.8,40.8,45141.0,27.0,40.800037,2024-02-16
109,ZION,2024-02-16 16:08:00+00:00,40.81,40.815,40.79,40.81,4280.0,69.0,40.802723,2024-02-16
110,ZION,2024-02-16 16:09:00+00:00,40.8,40.85,40.8,40.84,2180.0,39.0,40.832305,2024-02-16
111,ZION,2024-02-16 16:10:00+00:00,40.84,40.89,40.825,40.89,3015.0,55.0,40.846001,2024-02-16
112,ZION,2024-02-16 16:11:00+00:00,40.88,40.9,40.87,40.9,2918.0,42.0,40.885918,2024-02-16
113,ZION,2024-02-16 16:12:00+00:00,40.9,40.91,40.8899,40.91,4973.0,65.0,40.895117,2024-02-16
114,ZION,2024-02-16 16:13:00+00:00,40.89,40.905,40.87,40.9,2808.0,71.0,40.884443,2024-02-16
115,ZION,2024-02-16 16:14:00+00:00,40.87,40.87,40.845,40.86,1994.0,40.0,40.860441,2024-02-16
116,ZION,2024-02-16 16:15:00+00:00,40.87,40.91,40.87,40.91,2508.0,52.0,40.893315,2024-02-16
117,ZION,2024-02-16 16:16:00+00:00,40.9,40.905,40.9,40.905,1358.0,37.0,40.908046,2024-02-16
118,ZION,2024-02-16 16:17:00+00:00,40.9668,41.01,40.9668,41.0,2789.0,53.0,40.991723,2024-02-16
119,ZION,2024-02-16 16:18:00+00:00,41.0,41.005,40.9701,40.98,7384.0,99.0,40.986019,2024-02-16
120,ZION,2024-02-16 16:19:00+00:00,40.982,41.0,40.97,41.0,2763.0,62.0,40.982495,2024-02-16
121,ZION,2024-02-16 16:20:00+00:00,41.0,41.02,41.0,41.01,3955.0,51.0,41.009505,2024-02-16
122,ZION,2024-02-16 16:21:00+00:00,41.01,41.01,41.0,41.005,3311.0,58.0,41.002639,2024-02-16
123,ZION,2024-02-16 16:22:00+00:00,41.03,41.04,41.0,41.01,7684.0,124.0,41.020113,2024-02-16
124,ZION,2024-02-16 16:23:00+00:00,41.0,41.04,40.95,40.992,8922.0,128.0,40.981276,2024-02-16
125,ZION,2024-02-16 16:24:00+00:00,41.01,41.01,40.975,41.0,3549.0,43.0,40.984037,2024-02-16
126,ZION,2024-02-16 16:25:00+00:00,41.0,41.03,40.9824,41.03,4053.0,42.0,41.003737,2024-02-16
127,ZION,2024-02-16 16:26:00+00:00,41.0201,41.03,40.98,41.0,4843.0,57.0,41.003961,2024-02-16
128,ZION,2024-02-16 16:27:00+00:00,41.0,41.0,40.96,40.98,2386.0,48.0,40.988144,2024-02-16
129,ZION,2024-02-16 16:28:00+00:00,40.99,40.99,40.96,40.98,1228.0,43.0,40.983264,2024-02-16
130,ZION,2024-02-16 16:29:00+00:00,40.96,41.01,40.95,41.005,7771.0,81.0,40.978362,2024-02-16
131,ZION,2024-02-16 16:30:00+00:00,41.015,41.07,41.015,41.05,4903.0,51.0,41.041372,2024-02-16
132,ZION,2024-02-16 16:31:00+00:00,41.05,41.0599,41.03,41.03,1838.0,47.0,41.03993,2024-02-16
133,ZION,2024-02-16 16:32:00+00:00,41.02,41.02,41.01,41.01,1013.0,34.0,41.0154,2024-02-16
134,ZION,2024-02-16 16:33:00+00:00,41.05,41.05,41.02,41.035,28569.0,91.0,41.047455,2024-02-16
135,ZION,2024-02-16 16:34:00+00:00,41.0,41.06,41.0,41.06,1510.0,72.0,41.032507,2024-02-16
136,ZION,2024-02-16 16:35:00+00:00,41.05,41.05,41.015,41.02,862.0,19.0,41.033301,2024-02-16
137,ZION,2024-02-16 16:36:00+00:00,41.03,41.05,41.02,41.05,860.0,26.0,41.030347,2024-02-16
138,ZION,2024-02-16 16:37:00+00:00,41.035,41.04,41.01,41.035,4238.0,99.0,41.0283,2024-02-16
139,ZION,2024-02-16 16:38:00+00:00,41.04,41.045,41.02,41.04,1454.0,42.0,41.037524,2024-02-16
140,ZION,2024-02-16 16:39:00+00:00,41.035,41.05,41.035,41.045,718.0,26.0,41.04233,2024-02-16
141,ZION,2024-02-16 16:40:00+00:00,41.05,41.055,41.02,41.02,1919.0,46.0,41.042656,2024-02-16
142,ZION,2024-02-16 16:41:00+00:00,41.03,41.03,41.01,41.015,759.0,22.0,41.018891,2024-02-16
143,ZION,2024-02-16 16:42:00+00:00,41.015,41.06,41.015,41.06,3987.0,99.0,41.033058,2024-02-16
144,ZION,2024-02-16 16:43:00+00:00,41.065,41.08,41.065,41.08,1627.0,40.0,41.065514,2024-02-16
145,ZION,2024-02-16 16:44:00+00:00,41.07,41.07,41.03,41.03,2332.0,52.0,41.050266,2024-02-16
146,ZION,2024-02-16 16:45:00+00:00,41.03,41.035,41.01,41.01,861.0,30.0,41.024734,2024-02-16
147,ZION,2024-02-16 16:46:00+00:00,41.0,41.0199,41.0,41.0199,551.0,13.0,41.010117,2024-02-16
148,ZION,2024-02-16 16:47:00+00:00,41.005,41.03,40.99,41.02,1856.0,41.0,41.010993,2024-02-16
149,ZION,2024-02-16 16:48:00+00:00,41.01,41.01,41.0,41.0,673.0,16.0,41.007619,2024-02-16
150,ZION,2024-02-16 16:49:00+00:00,41.005,41.01,41.0,41.0,2675.0,39.0,41.001105,2024-02-16
151,ZION,2024-02-16 16:50:00+00:00,40.995,40.995,40.89,40.905,2201.0,56.0,40.944059,2024-02-16
152,ZION,2024-02-16 16:51:00+00:00,40.9,40.97,40.9,40.93,4005.0,78.0,40.934423,2024-02-16
153,ZION,2024-02-16 16:52:00+00:00,40.95,40.965,40.95,40.96,1466.0,23.0,40.954409,2024-02-16
154,ZION,2024-02-16 16:53:00+00:00,40.97,40.99,40.96,40.97,1760.0,42.0,40.97643,2024-02-16
155,ZION,2024-02-16 16:54:00+00:00,40.97,40.98,40.96,40.97,4709.0,46.0,40.964034,2024-02-16
156,ZION,2024-02-16 16:56:00+00:00,40.97,40.97,40.96,40.96,1052.0,33.0,40.964691,2024-02-16
157,ZION,2024-02-16 16:57:00+00:00,40.95,40.96,40.95,40.96,767.0,34.0,40.956064,2024-02-16
158,ZION,2024-02-16 16:58:00+00:00,40.985,41.02,40.97,40.97,2305.0,62.0,40.99761,2024-02-16
159,ZION,2024-02-16 16:59:00+00:00,40.96,41.0,40.96,41.0,647.0,22.0,40.986763,2024-02-16
160,ZION,2024-02-16 17:00:00+00:00,40.975,40.975,40.93,40.93,1870.0,48.0,40.944111,2024-02-16
161,ZION,2024-02-16 17:01:00+00:00,40.99,40.99,40.99,40.99,1581.0,53.0,40.982528,2024-02-16
162,ZION,2024-02-16 17:02:00+00:00,40.96,40.96,40.925,40.925,343.0,12.0,40.942915,2024-02-16
163,ZION,2024-02-16 17:03:00+00:00,40.925,40.925,40.925,40.925,370.0,15.0,40.924603,2024-02-16
164,ZION,2024-02-16 17:04:00+00:00,40.91,40.91,40.9,40.91,1338.0,39.0,40.906773,2024-02-16
165,ZION,2024-02-16 17:05:00+00:00,40.91,40.91,40.88,40.9,1868.0,44.0,40.890584,2024-02-16
166,ZION,2024-02-16 17:06:00+00:00,40.8801,40.8801,40.84,40.87,4166.0,57.0,40.867072,2024-02-16
167,ZION,2024-02-16 17:07:00+00:00,40.85,40.85,40.83,40.84,803.0,18.0,40.844368,2024-02-16
168,ZION,2024-02-16 17:08:00+00:00,40.845,40.89,40.845,40.89,1367.0,33.0,40.867136,2024-02-16
169,ZION,2024-02-16 17:09:00+00:00,40.885,40.89,40.88,40.885,858.0,30.0,40.884578,2024-02-16
170,ZION,2024-02-16 17:10:00+00:00,40.88,40.9,40.88,40.88,1119.0,34.0,40.884368,2024-02-16
171,ZION,2024-02-16 17:11:00+00:00,40.87,40.935,40.87,40.93,2132.0,67.0,40.91619,2024-02-16
172,ZION,2024-02-16 17:12:00+00:00,40.94,40.96,40.94,40.96,1048.0,32.0,40.95045,2024-02-16
173,ZION,2024-02-16 17:13:00+00:00,40.965,40.965,40.95,40.96,565.0,15.0,40.960814,2024-02-16
174,ZION,2024-02-16 17:14:00+00:00,40.965,40.965,40.965,40.965,211.0,17.0,40.968108,2024-02-16
175,ZION,2024-02-16 17:15:00+00:00,40.96,40.96,40.92,40.92,1895.0,42.0,40.945039,2024-02-16
176,ZION,2024-02-16 17:16:00+00:00,40.92,40.95,40.92,40.95,1251.0,28.0,40.932909,2024-02-16
177,ZION,2024-02-16 17:17:00+00:00,40.95,40.97,40.94,40.94,1492.0,47.0,40.946592,2024-02-16
178,ZION,2024-02-16 17:18:00+00:00,40.92,40.92,40.92,40.92,1054.0,26.0,40.920731,2024-02-16
179,ZION,2024-02-16 17:19:00+00:00,40.91,40.97,40.91,40.97,29717.0,50.0,40.915774,2024-02-16
180,ZION,2024-02-16 17:20:00+00:00,40.9594,40.98,40.9594,40.965,2248.0,45.0,40.970044,2024-02-16
181,ZION,2024-02-16 17:21:00+00:00,40.98,41.0,40.98,41.0,218.0,9.0,40.98812,2024-02-16
182,ZION,2024-02-16 17:22:00+00:00,40.97,40.98,40.93,40.93,1226.0,48.0,40.956847,2024-02-16
183,ZION,2024-02-16 17:23:00+00:00,40.965,40.99,40.965,40.99,798.0,23.0,40.973358,2024-02-16
184,ZION,2024-02-16 17:24:00+00:00,41.0,41.045,41.0,41.045,29573.0,54.0,41.002803,2024-02-16
185,ZION,2024-02-16 17:25:00+00:00,41.05,41.065,41.025,41.04,2249.0,46.0,41.040881,2024-02-16
186,ZION,2024-02-16 17:26:00+00:00,41.04,41.045,41.04,41.045,695.0,18.0,41.043746,2024-02-16
187,ZION,2024-02-16 17:27:00+00:00,41.03,41.03,40.955,40.955,2807.0,61.0,41.0013,2024-02-16
188,ZION,2024-02-16 17:28:00+00:00,40.97,40.99,40.97,40.99,3120.0,50.0,40.980318,2024-02-16
189,ZION,2024-02-16 17:29:00+00:00,41.0,41.0,40.98,40.98,377.0,13.0,40.99076,2024-02-16
190,ZION,2024-02-16 17:30:00+00:00,40.99,40.99,40.975,40.985,1473.0,29.0,40.984916,2024-02-16
191,ZION,2024-02-16 17:31:00+00:00,41.0,41.0,40.99,40.99,1053.0,29.0,40.993884,2024-02-16
192,ZION,2024-02-16 17:32:00+00:00,41.0,41.0,40.955,40.955,1362.0,31.0,40.982064,2024-02-16
193,ZION,2024-02-16 17:33:00+00:00,40.97,40.985,40.97,40.985,562.0,23.0,40.977427,2024-02-16
194,ZION,2024-02-16 17:34:00+00:00,41.0,41.0025,41.0,41.0025,477.0,20.0,40.995922,2024-02-16
195,ZION,2024-02-16 17:35:00+00:00,41.02,41.02,41.01,41.015,588.0,20.0,41.017381,2024-02-16
196,ZION,2024-02-16 17:36:00+00:00,41.02,41.02,41.02,41.02,275.0,15.0,41.024597,2024-02-16
197,ZION,2024-02-16 17:37:00+00:00,41.0,41.0,40.9401,40.9401,3549.0,80.0,40.972686,2024-02-16
198,ZION,2024-02-16 17:38:00+00:00,40.99,40.99,40.97,40.975,1868.0,31.0,40.978734,2024-02-16
199,ZION,2024-02-16 17:39:00+00:00,40.97,40.98,40.96,40.975,1772.0,25.0,40.971606,2024-02-16
200,ZION,2024-02-16 17:40:00+00:00,40.975,40.975,40.975,40.975,291.0,20.0,40.968392,2024-02-16
