Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AFRM,Affirm Holdings Inc. Class A Common Stock,$21.27,0.42,2.014%,6366041171.00,United States,2021,17599364,Consumer Discretionary,Business Services
CVNA,Carvana Co. Class A Common Stock,$41.98,0.74,1.794%,7952864619.00,United States,2017,7894688,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ESTC,Elastic N.V. Ordinary Shares,$81.24,2.17,2.744%,7995565409.00,United States,2018,2182240,Technology,Computer Software: Prepackaged Software
ETRN,Equitrans Midstream Corporation Common Stock ,$9.37,-0.19,-1.987%,4059655570.00,United States,2018,3426694,Utilities,Natural Gas Distribution
IOT,Samsara Inc. Class A Common Stock,$25.21,0.21,0.84%,13486141357.00,United States,2021,1749283,Technology,Retail: Computer Software & Peripheral Equipment
LYFT,Lyft Inc. Class A Common Stock,$10.54,0.03,0.285%,3980276441.00,United States,2019,8456876,Technology,EDP Services
MARA,Marathon Digital Holdings Inc. Common Stock,$8.50,-0.07,-0.817%,1481263661.00,United States,,20177374,Technology,EDP Services
PATH,UiPath Inc. Class A Common Stock,$17.11,0.34,2.027%,9696888771.00,United States,2021,6167860,Technology,Computer Software: Prepackaged Software
RUN,Sunrun Inc. Common Stock,$12.56,0.26,2.114%,2727822964.00,United States,2015,12175350,Miscellaneous,Industrial Machinery/Components
U,Unity Software Inc. Common Stock,$31.39,0.68,2.214%,12036725463.00,United States,2020,8203248,Technology,Retail: Computer Software & Peripheral Equipment
UPST,Upstart Holdings Inc. Common stock,$28.54,0.95,3.443%,2394153759.00,United States,2020,5873764,Finance,Finance: Consumer Services
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$10.86,0.17,1.59%,26469994584.00,United States,,19126409,Telecommunications,Cable & Other Pay Television Services